Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
2283445313,"Apr 12, 2019, 3:34:34 AM",Evening Run,Run,,3802,13.36,172,false,Dyad,activities/2283445313.gpx
2334830424,"May 1, 2019, 9:03:22 PM",Afternoon Ride,Ride,,1039,4.58,16,false,,activities/2334830424.gpx
2337373592,"May 2, 2019, 10:25:02 PM",Afternoon Ride,Ride,,1967,10.21,51,false,,activities/2337373592.gpx
2341978563,"May 4, 2019, 6:06:26 PM",Lunch Ride,Ride,,5455,21.18,83,false,,activities/2341978563.gpx
2431697957,"Jun 7, 2019, 9:02:04 PM",Afternoon Run,Run,,1881,5.08,72,false,Dyad,activities/2431697957.gpx
2455397927,"Jun 16, 2019, 3:38:52 PM",Morning Run,Run,,1589,5.64,64,false,Dyad,activities/2455397927.gpx
2462053447,"Jun 19, 2019, 3:36:41 AM",Evening Run,Run,"",1209,4.22,35,false,TG4,activities/2462053447.gpx
2469761575,"Jun 22, 2019, 4:02:18 AM",Night Run,Run,,1426,4.89,29,false,Dyad,activities/2469761575.gpx
2478304189,"Jun 25, 2019, 3:51:57 AM",Evening Run,Run,,2016,7.19,83,false,Dyad,activities/2478304189.gpx
2483846250,"Jun 27, 2019, 4:15:39 AM",Night Run,Run,,2488,8.25,80,false,Dyad,activities/2483846250.gpx
2488270183,"Jun 28, 2019, 10:17:03 PM",Afternoon Run,Run,,251,1.19,7,false,Dyad,activities/2488270183.gpx
2492672941,"Jun 30, 2019, 3:05:45 PM",Morning Run,Run,,1739,5.65,46,false,Dyad,activities/2492672941.gpx
2499197197,"Jul 2, 2019, 9:07:05 PM",Afternoon Run,Run,,2250,6.89,67,false,Dyad,activities/2499197197.gpx
2502521616,"Jul 4, 2019, 3:46:04 AM",Evening Run,Run,,2247,7.77,70,false,Dyad,activities/2502521616.gpx
2518902508,"Jul 9, 2019, 9:40:33 PM",Afternoon Run,Run,,1969,6.16,42,false,Dyad,activities/2518902508.gpx
2526837503,"Jul 12, 2019, 10:28:16 PM",Afternoon Run,Run,,2183,6.89,64,false,Dyad,activities/2526837503.gpx
2533126435,"Jul 15, 2019, 3:00:16 AM",Evening Run,Run,,371,1.40,2,false,Dyad,activities/2533126435.gpx
2535455141,"Jul 15, 2019, 3:10:30 AM",Evening Ride,Ride,,12478,4.00,5,false,,activities/2535455141.gpx
2535455849,"Jul 15, 2019, 11:13:43 PM",Afternoon Run,Run,,1549,4.64,46,false,Dyad,activities/2535455849.gpx
2538496002,"Jul 16, 2019, 11:32:23 PM",Afternoon Run,Run,,1609,5.82,44,false,Dyad,activities/2538496002.gpx
